Gender,Age,Height,Weight,BMI,BMIcase
Male,64,176.8776058,74.66153087,23.86443673,normal
Female,64,156.0218124,69.27080234,28.45637535,over weight
Male,51,172.7818062,88.68304378,29.70602699,over weight
Female,64,156.5328744,64.7765248,26.43665626,over weight
Female,48,182.1013581,101.3123963,30.55175892,severe obese
Male,61,184.5019101,54.56528998,16.02930654,moderate thinness
Male,51,184.3729925,78.32002015,23.03977222,normal
Female,60,181.4271764,97.75390087,29.69815117,severe obese
Male,62,196.047099,100.3141511,26.10005135,over weight
Female,50,178.953579,106.7964766,33.34848797,severe obese
Female,36,163.4488059,62.72819113,23.48006311,normal
Female,44,181.3730679,108.9615979,33.12286276,severe obese
Male,41,196.262079,71.6584568,18.60350011,normal
Male,64,177.4224345,53.05612728,16.8546011,moderate thinness
Male,26,197.0015757,95.31702551,24.56015377,normal
Female,38,179.8837119,101.6180012,31.40414449,severe obese
Female,64,169.3010459,91.93419368,32.07434446,severe obese
Female,33,182.2643097,95.62469998,28.78503855,severe obese
Male,62,188.3025799,50.8602608,14.34386015,sever thinness
Male,20,191.7194987,53.30093997,14.5011451,sever thinness
Female,57,173.7197876,83.95020903,27.81782703,severe obese
Male,25,180.2542907,78.49331389,24.15802589,normal
Male,37,185.1982498,64.67991229,18.85800151,normal
Female,42,161.6389316,69.85101592,26.7350367,over weight
Female,21,166.5563444,58.70758438,21.16273776,normal
Female,24,163.4835896,83.23653917,31.14337568,severe obese
Female,55,177.5745845,107.4159742,34.06491089,severe obese
Female,37,153.6515913,82.24963517,34.83853272,obese
Female,47,164.4031398,90.27242755,33.39911093,severe obese
Male,29,171.3962052,51.47806723,17.52345866,mild thinness
Male,23,196.8127089,93.41034359,24.11507915,normal
Female,34,173.5907329,105.4136856,34.98194272,obese
Female,63,168.7032069,78.512285,27.5861403,over weight
Female,30,176.4414963,97.30754561,31.2568389,obese
Female,43,174.2340658,97.47846653,32.11016566,obese
Female,42,170.1267328,66.81205156,23.08392657,normal
Male,42,173.5744518,91.73607063,30.44868414,obese
Male,36,186.257626,92.95632012,26.79481707,over weight
Female,63,175.2710445,106.0074376,34.50769788,obese
Male,34,179.915349,62.4665806,19.29795557,normal
Male,31,186.4938275,52.38536628,15.06194509,sever thinness
Male,28,185.2698119,96.33433054,28.06543399,over weight
Female,34,179.1994679,106.9164726,33.29439982,severe obese
Male,26,190.0976895,95.00785655,26.29092361,over weight
Male,35,193.5099356,51.78574149,13.82941031,sever thinness
Male,57,177.2080066,105.8934663,33.72115834,obese
Female,47,174.1531241,53.47297625,17.63079184,mild thinness
Female,54,166.7868682,58.02542666,20.85905525,normal
Male,29,179.3133492,66.09806553,20.55717838,normal
Female,28,173.9594404,95.2721235,31.48254562,obese
Male,37,172.2394456,51.69081359,17.42401073,mild thinness
Male,21,186.350998,109.5814644,31.5553974,obese
Male,51,192.7500978,105.8757364,28.4975307,over weight
Male,28,189.5306496,66.11453211,18.40509344,mild thinness
Male,55,180.4451372,99.02791202,30.41355985,obese
Female,51,173.8031346,103.3613091,34.21706786,obese
Male,65,175.5417698,103.1234273,33.46542872,obese
Female,65,171.4506787,97.08357891,33.02686573,severe obese
Female,55,140.697068,67.98750165,34.34464154,obese
Male,47,177.8894539,60.4930081,19.11634136,normal
Male,27,191.5579414,94.9900894,25.88677649,over weight
Female,19,180.5304061,105.5816072,32.39571359,severe obese
Male,53,186.7232215,95.72631907,27.45583752,over weight
Female,18,142.627364,52.43905642,25.77799628,over weight
Male,37,187.6819331,67.10467229,19.05056339,normal
Male,49,185.8554899,104.9959196,30.39636377,obese
Female,48,181.9411725,105.045749,31.73339254,severe obese
Male,46,178.5835476,50.78862328,15.92515062,sever thinness
Female,25,182.0291016,83.63601346,25.24129734,over weight
Male,42,193.5999968,83.52859831,22.28560876,normal
Male,37,193.3531333,109.0372712,29.16570949,over weight
Male,43,193.3772144,65.60229542,17.54318469,mild thinness
Male,54,190.4013867,53.98666637,14.8917692,sever thinness
Male,64,192.85212,70.66644643,19.00047324,normal
Male,38,182.0250057,91.00156525,27.46545232,over weight
Female,26,165.5853952,64.80628758,23.63595126,normal
Male,54,182.2203872,59.63238092,17.95925097,mild thinness
Female,18,149.4560395,65.44790068,29.30007832,over weight
Male,55,193.6653032,60.98219518,16.25920899,moderate thinness
Male,54,177.8929704,57.24066826,18.08785723,mild thinness
Male,28,183.5574228,94.42330404,28.02433336,over weight
Female,34,174.4276838,88.88368078,29.214012,severe obese
Female,27,177.176459,63.91822385,20.36163569,normal
Male,24,175.1628479,100.5732492,32.77921024,obese
Male,55,193.5139305,90.03945103,24.04409141,normal
Female,25,181.258862,98.10584309,29.86045194,over weight
Male,35,187.4571046,56.74497535,16.14818076,moderate thinness
Male,23,179.4997362,52.89591292,16.41702607,moderate thinness
Female,46,152.7752223,64.41526446,27.59833904,over weight
Male,34,192.5715087,67.54265588,18.2135276,mild thinness
Male,47,193.157409,73.20552705,19.62099961,normal
Male,62,184.9698082,81.06681029,23.69416415,normal
Male,25,182.941354,77.35678696,23.11397528,normal
Female,22,174.7788321,103.6151997,33.91921574,severe obese
Male,56,178.2729714,98.90616464,31.1209148,obese
Female,43,152.4309119,55.70775931,23.97560611,normal
Female,26,160.3190124,62.67910155,24.38668142,normal
Male,28,182.6255751,50.77415579,15.2236755,sever thinness
Male,42,194.7866321,99.56298871,26.24095446,over weight
Male,53,195.2152216,82.75809046,21.71616362,normal
Male,60,174.3542486,90.28189383,29.69857364,over weight
Female,28,165.6871886,60.93491258,22.19669603,normal
Male,59,175.3009113,95.19353323,30.97698169,obese
Female,60,159.1138083,53.64549895,21.18934579,normal
Male,49,185.0708199,104.1598249,30.41055478,obese
Female,30,174.1086075,103.238323,34.05653478,obese
Male,20,180.7219353,58.63554142,17.95308976,mild thinness
Male,46,170.8176278,97.21168003,33.31601709,obese
Female,26,181.7245734,94.28907618,28.5518376,over weight
Male,49,170.5391461,75.72171253,26.03587988,over weight
Female,35,154.8104676,72.23080587,30.13851263,obese
Female,23,181.9799105,103.2304313,31.17172581,severe obese
Male,53,189.8968577,55.79640372,15.47286197,sever thinness
Male,56,186.947343,85.07506933,24.34241811,normal
Male,44,196.284048,109.7575333,28.48815516,severe obese
Female,22,169.5779368,81.98782248,28.51088235,over weight
Male,19,170.1400793,63.63623983,21.98321706,normal
Male,39,183.5950331,93.58855806,27.76520603,over weight
Female,52,154.3411558,77.33767072,32.46591082,obese
Female,64,150.1515177,53.81163878,23.86804049,normal
Male,49,192.371886,56.26559504,15.20406475,sever thinness
Female,43,177.3905756,101.0487003,32.1121694,obese
Female,30,174.1318603,90.66605755,29.90117483,severe obese
Male,37,192.604674,102.9920863,27.7632441,over weight
Female,48,161.2328119,81.42095718,31.32054767,severe obese
Male,33,178.0928012,66.87105356,21.08363241,normal
Female,41,173.5028146,69.10146245,22.95483577,normal
Male,52,172.3265767,91.13240392,30.68798016,obese
Male,29,171.5478586,70.15972384,23.8406048,normal
Female,63,163.1689797,69.06224825,25.93973389,over weight
Female,46,167.2479202,62.25778338,22.25728579,normal
Female,33,165.5223512,57.54931114,21.00520073,normal
Male,35,183.5743668,108.1626438,32.09617036,severe obese
Male,54,179.2663776,57.83668428,17.99723143,mild thinness
Female,52,168.9278476,95.23364364,33.3724356,severe obese
Female,39,140.8163182,61.94948364,31.24148871,obese
Female,48,179.2401169,109.0883075,33.95531523,severe obese
Male,33,175.8357559,101.2999962,32.76385864,obese
Female,19,178.4904218,104.582869,32.82696409,obese
Male,57,183.7168384,75.09153155,22.24810554,normal
Female,19,147.4408713,70.97886379,32.65075782,obese
Female,56,180.877819,102.8114631,31.42468363,severe obese
Male,53,170.93653,91.95529822,31.47074253,obese
Male,25,175.938882,67.07346868,21.66841329,normal
Male,20,195.9492743,86.7836245,22.6021871,normal
Female,43,172.329593,89.55922741,30.15717206,severe obese
Male,23,187.7938402,67.26998853,19.07474179,normal
Male,23,192.8149678,82.62294466,22.22384404,normal
Female,62,181.3748107,58.62078486,17.81958906,mild thinness
Male,63,184.0000868,106.488416,31.45330681,obese
Male,46,184.0369067,87.19431574,25.74413618,over weight
Male,42,179.8166939,87.46760448,27.05124236,over weight
Male,47,195.0320494,98.06029143,25.77989895,over weight
Male,56,189.3219608,88.8128956,24.77844465,normal
Female,46,172.6631299,99.15328958,33.25890213,obese
Male,34,197.0858778,54.03212915,13.91044647,sever thinness
Male,53,175.0492794,100.8338876,32.90681556,obese
Male,18,188.7675227,109.9241893,30.84883152,obese
Male,42,184.6338252,70.02149988,20.54039896,normal
Female,65,150.4400968,57.03999531,25.20300194,over weight
Female,29,173.586501,54.76069912,18.17343767,mild thinness
Female,33,179.509647,94.0913305,29.19940649,over weight
Female,44,177.7648941,85.33236205,27.00360647,severe obese
Male,31,191.8915866,75.87631412,20.60603145,normal
Female,23,173.3518631,74.68167122,24.85175141,normal
Male,29,174.728074,72.98792678,23.90703118,normal
Male,20,190.8682437,51.73396791,14.2006569,sever thinness
Female,53,177.933828,100.6633255,31.79466323,severe obese
Male,37,183.646921,57.90271201,17.16847034,mild thinness
Female,55,158.3795207,65.42046618,26.08048036,over weight
Male,55,172.4970055,60.78700481,20.42902427,normal
Male,42,170.182366,68.7511113,23.73835432,normal
Male,46,179.8852111,100.8870885,31.17774269,obese
Male,61,176.8843562,55.52970225,17.74788044,mild thinness
Male,48,193.2778259,90.32403371,24.17905152,normal
Male,52,185.2180818,103.8960531,30.28532827,obese
Male,64,187.6356308,109.621914,31.13628238,severe obese
Male,57,176.6770187,89.10095685,28.54448706,over weight
Male,52,192.9437987,64.55405328,17.34051002,mild thinness
Female,47,178.1174969,101.1105478,31.87009048,severe obese
Male,50,188.8873822,84.22652413,23.60711866,normal
Female,57,155.7276013,52.95357847,21.8355495,normal
Male,19,191.8573616,65.64429249,17.83364167,mild thinness
Female,40,176.8040172,64.47872543,20.62681566,normal
Female,38,180.8706112,106.6594209,32.60342378,severe obese
Male,39,180.1596873,108.2194329,33.34187469,obese
Male,26,192.6255865,104.7928204,28.24252884,severe obese
Male,28,174.1730302,57.88567631,19.08135875,normal
Female,30,148.9695664,77.12174876,34.75215666,obese
Male,26,170.8825153,80.59976746,27.60187171,over weight
Female,23,154.8353677,73.17954951,30.52455857,obese
Male,19,178.6134951,60.46579799,18.95314352,normal
Male,54,177.099008,89.69737497,28.59877797,over weight
Female,56,157.9685438,59.17525959,23.71367931,normal
Female,38,159.4368212,55.35357184,21.77551305,normal
Male,48,186.6558378,50.88862014,14.60620933,sever thinness
Female,57,173.8376342,85.87006386,28.41542657,over weight
Female,65,182.8756462,97.65304411,29.19940746,over weight
Female,63,180.9096529,85.32963021,26.0721222,over weight
Male,53,185.3760864,108.5392962,31.58490554,obese
Female,50,181.4450377,99.60377511,30.25419547,severe obese
Female,61,178.9559587,91.69115973,28.63090911,severe obese
Female,51,179.7210199,109.9572797,34.04287563,severe obese
Female,61,168.45087,63.3440658,22.32335261,normal
Male,31,189.1613453,62.68855976,17.51957249,mild thinness
Male,60,186.9003132,84.67616935,24.24047606,normal
Male,61,187.4658556,58.13161225,16.54123803,moderate thinness
Male,20,193.1723483,85.43414237,22.89504732,normal
Female,50,145.1842654,67.96960016,32.24598238,obese
Male,42,194.8504455,52.42369178,13.80780978,sever thinness
Female,19,177.7775871,102.2104886,32.34010679,severe obese
Female,56,175.3283354,88.05465901,28.64495343,over weight
Male,53,187.8553441,62.95431735,17.83932471,mild thinness
Male,30,185.4132791,69.06882744,20.09094727,normal
Male,31,183.6366476,90.64789954,26.88060464,over weight
Male,35,179.7267567,97.68810391,30.2423967,obese
Female,54,182.0605016,99.41468296,29.99294159,severe obese
Male,40,193.3665812,76.18391095,20.37513178,normal
Male,41,186.9686352,100.7981911,28.83468575,over weight
Male,28,189.8845411,105.8109806,29.34617618,over weight
Female,39,169.9341697,99.89795728,34.59355386,severe obese
Female,52,161.3090112,67.41063266,25.90664327,over weight
Female,30,159.340573,71.84565697,28.29748061,over weight
Female,64,153.47579,52.47743869,22.27885541,normal
Female,62,182.1776557,103.6031548,31.21639603,severe obese
Female,21,158.7462292,87.00669211,34.52596464,severe obese
Male,48,191.8122777,101.2442581,27.51804631,over weight
Female,26,176.2976052,106.8008396,34.36226962,severe obese
Male,36,182.0009893,70.55973232,21.30146276,normal
Female,24,159.7992864,79.16622349,31.00203891,severe obese
Male,31,171.6777218,50.10914255,17.00157236,mild thinness
Male,60,173.4755415,78.86177681,26.20535541,over weight
Male,62,189.912317,55.15101097,15.29139874,sever thinness
Male,19,189.8978279,108.5227026,30.09404779,obese
Female,65,151.4065715,79.91032361,34.85888075,obese
Female,25,177.1142189,60.04560308,19.14142891,normal
Male,52,193.839144,98.36885326,26.18030141,over weight
Female,64,179.8033011,74.85330781,23.15344801,normal
Female,39,168.6037149,87.33902712,30.72373929,severe obese
Male,61,190.5820671,86.35398212,23.77487832,normal
Male,60,194.7610893,70.45999632,18.57540222,normal
Female,59,153.631783,61.51457436,26.06248856,over weight
Male,47,186.5422539,101.8978573,29.28266588,over weight
Male,44,196.6113234,90.62551562,23.44409312,normal
Female,58,165.7833505,81.68942174,29.72240837,over weight
Female,22,164.9638561,64.43763152,23.67892431,normal
Male,41,180.9030636,91.21538805,27.87252197,over weight
Female,55,172.5461596,84.26928096,28.30470895,severe obese
Male,39,196.251304,53.23283184,13.8214774,sever thinness
Female,57,145.7452888,57.82359702,27.22175081,over weight
Female,41,182.0127253,100.7826887,30.42162688,severe obese
Male,41,194.7991341,55.00274388,14.49473605,sever thinness
Female,62,181.5853586,89.43600597,27.12381293,over weight
Female,40,178.0439676,105.4685804,33.27120826,severe obese
Male,64,178.1278496,77.63644588,24.46819852,normal
Male,28,183.7832273,57.53603299,17.03445202,mild thinness
Female,43,152.6902482,52.02847108,22.31610836,normal
Female,35,163.9179115,63.4652731,23.62018686,normal
Male,25,181.7343451,51.2840033,15.52772742,sever thinness
Female,37,158.8548345,74.96862125,29.70835814,over weight
Male,44,173.027779,78.96958945,26.37717095,over weight
Male,65,171.8494879,53.56160204,18.13665006,mild thinness
Male,62,179.945124,76.55848159,23.64357507,normal
Male,47,181.6156858,77.81441979,23.59138149,normal
Female,55,169.9236758,92.8527911,32.15786254,severe obese
Male,61,192.6929435,100.4603815,27.05597576,over weight
Female,48,149.6014411,55.85329798,24.95613165,normal
Female,45,167.4568022,97.77636563,34.86810164,obese
Female,31,146.7795881,51.81788719,24.05184363,normal
Male,32,187.1404701,67.9730545,19.40891928,normal
Male,65,189.5062226,60.60255106,16.87500679,moderate thinness
Female,20,175.7412866,53.39445852,17.28815244,mild thinness
Male,21,182.3725887,77.06162442,23.16962657,normal
Male,35,187.6586323,85.42513916,24.25764308,normal
Male,29,181.7791456,53.43967463,16.17244525,moderate thinness
Female,54,182.0156049,79.58555942,24.02243498,normal
Female,52,169.2805931,82.53622622,28.8025052,severe obese
Female,59,158.2174864,61.7658612,24.67399883,normal
Male,28,195.9369304,106.8897697,27.84219951,severe obese
Female,46,179.7062671,67.72009367,20.96964625,normal
Female,43,182.9830424,56.20625159,16.78660745,moderate thinness
Female,63,178.3070319,88.67322708,27.89045328,severe obese
Female,20,179.6007928,96.16917003,29.81393973,over weight
Female,44,166.7735672,72.28269474,25.98842131,over weight
Female,21,175.9843491,91.93791952,29.68565113,severe obese
Female,48,166.3211105,76.04982609,27.49181882,over weight
Male,39,170.5707881,74.62513618,25.64931817,over weight
Female,32,150.0215171,61.65792483,27.39566192,over weight
Female,24,178.1058578,106.7484457,33.65155623,severe obese
Female,63,169.9147293,60.87978622,21.08681865,normal
Female,25,156.4916806,77.22072395,31.53198853,obese
Female,30,174.7982931,100.9677127,33.04518161,severe obese
Female,62,145.57713,50.52566997,23.84107174,normal
Male,31,182.1165688,65.42599118,19.72656157,normal
Male,46,192.5014502,95.88535659,25.87523343,over weight
Female,33,176.4450823,94.36193903,30.30942791,obese
Male,54,187.8615175,99.5949916,28.22031435,over weight
Male,31,172.9875985,63.4242207,21.19459881,normal
Female,57,157.4823699,78.93588878,31.82809311,obese
Female,60,173.7984163,77.11889944,25.53108043,over weight
Male,48,177.6106923,64.41462418,20.41955451,normal
Female,24,176.5933824,76.32290865,24.47406239,normal
Female,54,173.9151371,93.24536602,30.82850689,obese
Female,26,181.6539632,96.57141466,29.26569475,over weight
Male,45,196.7119927,78.45353671,20.2745326,normal
Male,46,176.4222128,67.81993565,21.78967955,normal
Male,19,181.2634441,80.71246392,24.56519128,normal
Male,63,175.6279525,83.33580582,27.0174504,over weight
Male,44,189.9031239,107.0517536,29.68448835,over weight
Male,63,174.0932849,103.8051573,34.24955168,obese
Male,36,176.8083785,53.0087358,16.95671669,moderate thinness
Male,54,179.0066519,100.0985307,31.23844184,obese
Female,55,168.3080742,98.26014859,34.68706187,obese
Female,27,159.7107558,74.19962282,29.0893065,over weight
Female,45,144.1996602,59.37738804,28.55568715,over weight
Male,51,176.4693867,74.19036116,23.82367371,normal
Male,25,176.3548975,100.5392317,32.32663597,obese
Male,65,189.1386228,56.91052721,15.90860739,sever thinness
Male,43,180.050783,59.99563699,18.50672791,normal
Female,25,181.1747014,104.6122587,31.87039679,severe obese
Male,19,180.8985654,105.0612489,32.10497334,obese
Female,65,182.0924581,101.5676103,30.63171532,obese
Female,50,182.7541499,77.3353905,23.15494681,normal
Male,57,182.3936357,104.2342037,31.33220018,obese
Female,45,167.8213443,81.44016403,28.91640167,over weight
Female,48,180.2766506,88.53412883,27.24154638,over weight
Female,39,180.1066486,87.77206626,27.05807102,severe obese
Female,20,148.5142031,73.25382667,33.21194713,obese
Male,61,197.1282737,72.15377245,18.56783231,normal
Female,62,177.5036738,97.86556209,31.0609835,severe obese
Male,38,194.6890011,61.68487134,16.27405687,moderate thinness
Male,54,183.4915455,94.25586348,27.99472843,over weight
Female,35,178.8603812,76.83288731,24.01700509,normal
Male,55,189.8811536,79.57807605,22.07139138,normal
Female,21,179.8107566,103.8548707,32.12147891,severe obese
Male,31,196.5325069,86.7671074,22.46396076,normal
Male,25,177.0544733,79.54641574,25.37504424,over weight
Male,45,195.6381802,98.1557317,25.6453385,over weight
Male,64,191.6870525,66.71880253,18.15777726,mild thinness
Male,37,192.75152,106.7962963,28.74488454,over weight
Female,22,168.9441315,98.87835945,34.64296309,obese
Male,58,172.7666599,79.25977872,26.5541853,over weight
Female,38,152.5700938,72.00725892,30.93409768,obese
Female,42,158.1735823,86.18318567,34.44725676,severe obese
Female,65,178.1157537,83.25131668,26.24136639,over weight
Female,33,178.5810392,106.6241539,33.43373579,obese
Female,52,172.8718255,97.40015895,32.59201636,severe obese
Male,23,196.7404814,96.39600158,24.90414067,normal
Male,36,182.5893508,101.4586076,30.43252651,obese
Male,33,180.4295574,92.124156,28.29815719,over weight
Male,34,171.3290969,98.29552727,33.48663476,obese
Male,59,175.6974242,75.84407472,24.56919167,normal
Male,49,178.1588585,71.09549188,22.39892732,normal
Male,35,195.3559365,65.28885582,17.10747175,mild thinness
Female,51,175.2360497,105.6582976,34.40778374,severe obese
Male,64,192.7229364,95.77624403,25.78641652,over weight
Male,56,185.9796176,87.93936502,25.42451192,over weight
Male,38,194.038096,63.19471874,16.78443693,moderate thinness
Female,51,168.7236056,89.16076215,31.32002332,obese
Male,59,172.6273796,58.41358496,19.60173457,normal
Male,31,189.4236602,76.57367584,21.34081726,normal
Female,30,160.5254178,50.02642017,19.41385619,normal
Female,61,181.804185,64.07317633,19.38512036,normal
Male,28,188.8930403,69.71113779,19.53755698,normal
Male,33,194.0550442,84.22351967,22.36575247,normal
Female,51,173.3446175,98.45703121,32.76619519,obese
Female,58,179.5742585,103.8717433,32.21137449,severe obese
Male,31,196.9377001,109.3332879,28.18997463,severe obese
Female,19,172.7564285,61.18692914,20.50171647,normal
Female,33,155.5807643,84.26914036,34.81422746,obese
Male,56,189.7049853,85.42282507,23.73648691,normal
Male,52,189.781366,58.33770421,16.19728402,moderate thinness
Male,38,183.2316659,51.29603858,15.27857207,sever thinness
Male,59,181.6420916,72.48030535,21.96782327,normal
Male,42,193.5734658,105.0513993,28.03562161,severe obese
Female,65,173.3613263,94.68574784,31.5050499,severe obese
Female,19,139.9220499,60.14189371,30.71883778,obese
Female,31,163.1936601,74.16295815,27.84713234,over weight
Male,37,174.0762462,83.55879355,27.5748485,over weight
Female,35,149.3901713,56.43575862,25.2877574,over weight
Female,32,172.2412758,85.73203854,28.89805965,severe obese
Female,25,152.1565083,68.54031459,29.60499734,over weight
Female,38,171.8385587,97.38994574,32.98168815,obese
Male,27,177.3702751,103.9286211,33.03493722,obese
Female,37,174.3476146,104.3300529,34.32238099,severe obese
Male,43,187.8247731,55.79607762,15.81604617,sever thinness
Male,38,190.1210239,70.58222862,19.52697984,normal
Female,61,149.0647801,65.52087421,29.48693252,over weight
Male,51,184.8424655,104.0228014,30.44563525,obese
Female,34,163.4482159,65.43715799,24.49424517,normal
Male,64,172.8380625,81.75974224,27.36911377,over weight
Female,47,174.4562532,69.64051818,22.88173291,normal
Male,41,193.8376277,76.3706495,20.32592469,normal
Female,39,176.5724071,70.82102038,22.71519686,normal
Female,38,180.4915194,108.838111,33.40930135,severe obese
Male,32,170.6353288,77.16112443,26.50090105,over weight
Female,42,161.0466388,52.54000079,20.25754186,normal
Female,37,140.5967229,67.89844375,34.34863032,obese
Female,25,175.5873576,82.694965,26.82208789,over weight
Female,19,157.214027,68.99439093,27.91458661,over weight
Male,55,170.0849572,90.9847218,31.45115951,obese
Female,32,181.5870506,72.68665917,22.04372369,normal
Male,36,179.8644173,66.80520669,20.64998791,normal
Male,41,194.0282863,81.17669134,21.56260613,normal
Male,49,180.92214,96.67585291,29.53483713,over weight
Female,22,171.960779,89.47612182,30.25856613,severe obese
Female,59,181.5055865,95.84262216,29.09234265,severe obese
Male,28,170.2254211,54.93306409,18.95767134,normal
Male,34,193.7714739,62.94776088,16.76488586,moderate thinness
Female,35,168.4705694,73.94877278,26.05450844,over weight
Female,55,178.5403507,100.4889704,31.5243129,severe obese
Female,27,176.9121829,108.2633334,34.59122261,obese
Female,56,174.0341604,59.39673603,19.61072166,normal
Male,48,180.6638387,68.79002828,21.07574913,normal
Male,57,196.2995097,73.7286675,19.13365572,normal
Female,59,167.3615857,55.79515003,19.91979597,normal
Female,21,181.7734142,104.9665001,31.76800831,severe obese
Female,44,148.7117856,55.83928385,25.24928375,over weight
Male,52,190.7698826,62.49055927,17.17096831,mild thinness
Male,25,185.6956073,81.74518659,23.7060354,normal
Female,46,141.9672126,55.60856056,27.59087938,over weight
Female,41,165.4173231,81.85380902,29.9141672,over weight
Female,57,173.1178212,99.32219562,33.14078233,severe obese
Male,36,187.2351234,101.6906004,29.00722402,over weight
Male,35,188.7795164,82.09214875,23.03519457,normal
Female,38,143.8356421,71.17587352,34.40327388,obese
Female,38,148.4819716,55.86388211,25.338661,over weight
Male,22,197.6940322,84.82145648,21.70294184,normal
Female,41,171.1494165,85.91585259,29.33070207,severe obese
Female,37,179.3201721,98.70401812,30.69562911,severe obese
Female,23,177.0232306,106.9246875,34.12066333,severe obese
Male,18,193.4100686,94.3888631,25.23263452,over weight
Female,52,143.4247172,69.86193658,33.96194979,obese
Female,33,178.4893086,97.08566552,30.4740866,obese
Female,29,158.6371771,62.1986315,24.71558436,normal
Female,63,141.1813909,53.60620353,26.89429342,over weight
Female,42,165.676116,92.36528093,33.65030044,obese
Male,41,191.4740415,106.4124385,29.02502397,over weight
Male,21,181.7595251,87.31558126,26.43001385,over weight
Female,59,161.6260964,50.32977284,19.26646342,normal
Female,38,174.4159469,60.81962787,19.99269673,normal
Female,19,158.9650049,74.68392991,29.55453338,over weight
Female,54,164.5262515,56.73374125,20.95902219,normal
Male,57,195.8794268,78.48070228,20.45432875,normal
Male,23,183.8345621,65.0362433,19.24425563,normal
Male,58,172.7515284,104.1463886,34.89799033,obese
